Efficiency_%,Fitness_Score_%,Combined_Score_%,Battery_V,Load_W
63.0306488850525,37.064152815435,52.6440504572055,48,30
82.5219859106318,31.0537016163024,61.9346721929001,48,30
99.6533459486752,88.9193232096912,95.3597368530816,36,50
94.1077958514444,45.4155566223152,74.6309001597927,24,70
48.5396083414194,21.6805787337481,37.7959964983509,12,10
96.8828191521402,15.6790700725576,64.4013195203072,48,30
68.3996551808794,61.7397952213136,65.7357111970531,12,10
59.5239083940672,29.919220496791,47.6820332351568,36,30
47.3527182719327,35.947942952543,42.7908081441768,12,70
55.8987638691761,23.0182176864169,42.7465453960725,24,50
93.9879256254435,42.5284398044154,73.4041312970322,36,30
70.117092571074,52.5992227989446,63.1099446622222,36,30
42.0395790600395,26.4305361539311,35.7959618975962,48,30
86.8257893407103,27.7398014719718,63.1913941932149,12,30
79.5987557873003,31.5543389602095,60.3809890564639,36,10
65.1721079604548,24.8104129218616,49.0274299450175,24,10
95.7759105617091,20.0015418982551,65.4661630963275,36,50
93.7507559507096,50.0080846350798,76.2536874244577,48,70
91.2463058816843,3.18572068880017,56.0220718045307,12,10
85.4003627609741,21.5521894264465,59.861093427163,48,70
98.7914974287665,13.9338475415736,64.8484374738893,24,10
84.7673268979856,56.5196128626255,73.4682412838415,48,30
53.422112817063,13.7209271608411,37.5416385545742,12,70
85.8243963176488,71.242069598499,79.9914656299889,48,30
59.6197237197423,19.9920170779083,43.7686410630087,12,10
66.8152557474607,23.6171504734403,49.5360136378525,12,30
94.5175802778612,29.233226215913,68.4038386530819,36,10
85.4707017337545,28.8418154149751,62.8191472062427,24,30
41.637755380508,18.6373584475092,32.4375966073085,24,50
81.1609896706944,47.6691469541629,67.7642525840818,24,70
54.8881195674361,23.8374584508834,42.467855120815,36,10
91.375904603379,17.3650748591128,61.7715727056725,48,10
94.9751305647018,3.18387813526772,58.2586295929282,12,10
86.0204234059035,26.2862036200856,62.1267354915763,48,30
81.9964704467165,20.5484954930341,57.4172804652436,12,70
79.0187922341671,40.1485539102245,63.47069690459,24,70
80.3316504315836,17.7950803231469,55.3170223882089,36,30
64.5012472373974,26.4845430881461,49.2945655776969,36,30
94.1701443271552,37.9785435516117,71.6935040169378,24,10
57.0837471918827,30.495829346727,46.4485800538205,36,10
86.3030386738036,34.3291781828875,65.5134944774371,12,70
97.3716585782066,22.8542743907214,67.5647049032126,24,50
56.0485507007342,13.7574236066334,39.1320998630939,12,70
41.7109836481854,17.842609388876,32.1636339444616,12,70
81.6140552371009,27.075108257529,59.7984764452721,12,10
66.5942080622098,63.2859135460478,65.270890255745,24,70
99.9316226981423,46.4097194969153,78.5228614176515,12,70
61.00222233088,26.4078628898046,47.1644785544498,12,70
74.9839470204368,14.7333733171413,50.8837175391186,24,10
81.2318237912154,22.7989965064146,57.8586928772951,24,70
39.736193179649,16.822036269673,30.5705304156586,48,70
96.1495955087643,89.5306778920281,93.5020284620699,48,70
64.7366278334356,21.8637790038341,47.587488301595,12,10
52.2038242023849,18.8987573782556,38.8817974727332,24,10
67.8544038662797,71.0027667629745,69.1137490249576,36,70
45.2703364540433,19.1223882373723,34.8111571673749,36,10
94.7491725561721,10.2249254650166,60.9394737197099,36,50
26.5886240722869,26.7637410335352,26.6586708567862,12,10
47.555297215817,19.7380112398691,36.4283828254378,36,50
75.2985611506769,24.1124295110569,54.8241084948289,36,30
77.424541064529,35.5191537409145,60.6623861350832,24,30
82.079400408917,30.931765751654,61.6203465460118,12,50
54.1701568262058,35.789773186722,46.8180033704123,12,10
75.7728028008483,49.1228494017703,65.1128214412171,48,70
8.6674195351621,3.18314997709825,6.47371171193656,12,10
66.1528393519456,27.0236570857503,50.5011664454675,36,50
72.6506579777591,39.0467368090024,59.2090895102564,48,30
36.6106638188459,40.0655530799499,37.9926195232875,12,10
97.9317595913213,29.7902165179124,70.6751423619577,24,50
79.3298085415561,85.3199926263892,81.7258821754893,48,50
89.7602820628135,42.7384952917766,70.9515673543987,24,70
69.532971767264,50.9768944556509,62.1105408426187,24,30
30.283323672966,32.9302560548215,31.3420966257082,24,70
58.8761606472851,44.6194830241848,53.173489598045,36,30
89.8992715566818,22.2236882744971,62.8290382438079,12,10
98.8907147629114,35.5341431006219,73.5480860979956,36,10
72.6369657150081,31.8673630412757,56.3291246455151,48,30
23.0844158406877,26.6827054441522,24.5237316820735,12,30
87.2547849937793,33.2377890291693,65.6479866079353,24,30
55.0521469763792,25.8058402473433,43.3536242847648,24,50
52.852918554011,24.9531659007912,41.6930174927231,12,70
58.5453207745252,19.9904857442261,43.1233867624055,12,30
43.2700674669482,37.8142538172378,41.087742007064,12,30
69.5208156533192,28.8589368566764,53.2560641346621,24,70
76.773983954088,85.132284438833,80.117304147986,48,50
50.6017086362899,29.5352864906859,42.1751397780483,12,30
47.787391723561,18.0613591637196,35.8969786996244,48,30
75.8339762874231,20.9137301414324,53.8658778290268,36,50
32.3720951811253,18.0761225606897,26.653706132951,12,10
94.0127856831587,67.6105358877247,83.4518857649851,36,70
97.2040005178295,17.3932409146596,65.2796966765615,48,30
33.3584581776563,36.8780672613521,34.7663018111346,12,30
97.4321165679021,62.1830847841905,83.3325038544175,12,10
78.1374944337499,17.1336058301307,53.7359389923022,36,10
73.2176319992079,41.0401115565979,60.3466238221639,48,30
49.3959999672208,40.3242894836999,45.7673157738124,24,70
79.7947001477618,45.8601131787297,66.220865360149,24,30
78.6027175172421,51.637026033042,67.8164409235621,36,50
